"text","emotion","polarity"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"how many corona cases in the company","unknown","positive"
"banging utensils scares away corona and keeps us safe i think we should have another round the first one was conduct…","unknown","positive"
"pm sir desh ke halaat kharab ho rahe haikuch strict action lo aap is desh ko aap hi bacha sakte h…","unknown","negative"
"it’s censorship we sat on house arrest for nearlymonths and they only reported about corona the news never fol…","unknown","positive"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"i want to give you a very important information about corona

influenzinumand aconite…","unknown","positive"
"our women development minister is focused on antakshari

our railway minister is focused on electoral bonds

our home…","unknown","positive"
"jaan hai to jahan hai mamaji dont ignore students power <U+0001F64F> generalpromotiontompstudents rgpvspreadingcoronavirus","unknown","neutral"
"worldhealthorganizationpleasesavetheegyptianhighschoolstudents
help us many students in egypt will be infec…","unknown","positive"
"any thought of starting some service to help ppl get tested for corona get admission in…","sadness","neutral"
"inside ukur yatani’s sh trcomplicated ‘corona budget’","unknown","positive"
"liar with his illnesses if he had corona he would be dead thana ya corona liars frauds shameless cowards","unknown","negative"
"todo bien pero the boyz world domination rtk y la corona es de los nenes","unknown","neutral"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"i have seen more doctors with anxiety
this time around
we always knew anxiety levels were high in doctors but corona…","anger","negative"
"post corona last i checked it’s still here and thriving in red states now","unknown","negative"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not…","unknown","positive"
"rahul gandhi warned on corona
rahul gandhi warned on china

corona cases in india
chinese troops i…","unknown","positive"
"if they knows the future that students will not suffer then india will not hired by these much number of cases they are…","sadness","neutral"
"you don’t want concern trolling derailing your movement latching on to this detail and that detaili thi…","joy","neutral"
"<U+0001F4A6> high aqua <U+0936><U+0941><U+0926><U+094D><U+0927>the real happiness in pure water <U+0001F4A6>
<U+23F8><U+FE0F> start your packaged drinking water project 
…","anger","positive"
"food security during the covid pandemic in togo

covid corona food","unknown","positive"
"students are the future of the nation life is more important than exams government should not risk students life students can…","unknown","negative"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"this maulana once said that boldly in public if muslims get corona disease the quran will become false
millions of musl…","sadness","neutral"
"our women development minister is focused on antakshari

our railway minister is focused on electoral bonds

our home minis…","unknown","positive"
"corona ward at expo center lahore 
nothing can beat lahoris <U+0001F602>","surprise","positive"
"shahbazsharif
plz read the under line
i wrote in my column that shahbaz sharif will not arrested in june may corona would…","unknown","positive"
"breaking news 
new zealand is now corona free
meanwhile modi ji","unknown","positive"
"i want to give you a very important information about corona

influenzinumand aconite…","unknown","positive"
"after dam fund and corona fund now we have cynthia fund 

<U+0001F926><U+200D><U+2642><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F><U+0001F633><U+0001F633><U+0001F633><U+0001F633>","unknown","negative"
"to my understanding that was ploy to skip responsibility and medically corona test samples sent for chec…","unknown","neutral"
"pm says ‘very confident’ ‘we can send corona virus packing’ withinweekssays won’t do closures of bars and cafes if th…","unknown","negative"
"just a reminder that corona virus isn’t over things might be opening back up but we still don’t have a vaccine and the…","unknown","positive"
"changingenglish names to “match” tamil pronounciation was possibly done to divert public attention from compelling…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celeb…","unknown","positive"
"may the coronaforce be with you","unknown","positive"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"a vaccine for a coronavirusawesome keep me posted","unknown","positive"
"worldhealthorganizationpleasesavetheegyptianhighschoolstudents
help us many students in egypt will be infec…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"pope francis has donatedventilators and other medical supplies to zambia to help fight corona virus","unknown","negative"
"i want to give you a very important information about corona

influenzinumand aconite…","unknown","positive"
"rahul gandhi warned on corona
rahul gandhi warned on china

corona cases in india
chinese troops i…","unknown","positive"
"he also has the corona virus","unknown","negative"
"i wanna go to cedar point so bad i’m beeeeefing corona <U+0001F62D>","sadness","negative"
"daily thanthi epaperappreciating his fans for sfcwelfareworks during this corona pandemic amp asking…","unknown","positive"
"they think because the known human coronaviruses

e alpha coronavirus
nl alpha coronavirus
o…","unknown","positive"
"check how bangladesh treated its minorities hindus during corona aswrites

 …","unknown","positive"
"i want to give you a very important information about corona

influenzinumand aconite…","unknown","positive"
"schoolclosureuk the government action plan to stop the corona virus","unknown","negative"
"gavya care
corona precaution kit <U+0001F6CD> 

lpdf 
coronaprecautionkit","joy","positive"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"the provocative communal speeches of bjp politicians are spread all over the country faster than the deadly virus corona…","unknown","negative"
"i have seen more doctors with anxiety
this time around
we always knew anxiety levels were high in doctors but co…","anger","negative"
"jharkhandgoats sacrificed in hipdu temple to get rid of corona","sadness","negative"
"work is okay but here all the shopping malls restaurants are opened too its not the time to do that indi…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"students e corona thi safety mate questions karya pnna vc e gol gol ans aapya …","unknown","positive"
"andhra pradesh reportsnew cases of corona virus anddeaths","unknown","negative"
"corona isolation center lahore pakistanbeat this coronainpakistan coronavirus coronaisajokehere…","unknown","negative"
"is xms r more impt then us 
plzz stop doing tym waste on our xms
corona increases day by day nd uh didnt know
…","unknown","neutral"
"what a disappointment to corona cate ppl they wanted to treat ab emperor","unknown","negative"
"this corona virus is turning into qorma virus cuz a bunch of friends went to eat chicken karahi and tested positive a day later","unknown","neutral"
"one of our employees is in east delhi he called to inform thatpositive cases have come up in his colony his brother amp h…","joy","positive"
"i want to give you a very important information about corona

influenzinumand aconite…","unknown","positive"
"disney has been racist and now they gonna get y’all with corona <U+0001F633> scheduledisney","sadness","negative"
"th may mamata banerjee indian railways is running corona express in the name of shramik trains
th june i didntt sa…","unknown","positive"
"when will s e cone ou the corona is over","unknown","positive"
"bihar is really a great revolutionary state an fir being filed there against chinese president xi for…","joy","positive"
"exclusiveactress malaika aroras home sealed as a resident tests corona positive

malaikaarora arjunkapoor…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"le meno hope to live more to coronaearthquake and pouring rainbht acha lga tum logo k sath kaam krke","joy","neutral"
"before corona my life was very interesting true facts lol","unknown","positive"
"honourable hrd ministerdr ramesh pokhhriya niahank sirplease postpone neet and jee exam…","unknown","positive"
"jabbawokis the only people you can absolutely trust to not have corona been in a mask since","unknown","positive"
"media will fight pakistan
army will take on china
people will fight corona
and bjp will fight bihar elections","unknown","neutral"
"isse acha to corona hi ho jaye
rahulgandhirasresult 
 help us 

rahulgandhirasresult 
…","unknown","positive"
"lokesh dont waste your t…","unknown","negative"
"media will fight pakistan
army will take on china
people will fight corona
and bjp will fight bihar elections","unknown","neutral"
"nice","unknown","positive"
"there are multiple people at the bar who tested positive for corona only one week ago in remerton tonight you have been…","joy","neutral"
"so nigerian alleged billionaire hushpuppi has been arrested by interpol for scamming andmoney laundering of over mi…","unknown","positive"
"update atgmt <U+0001F637> 
 <U+0001F3E5> total confirmed cases
 <U+0001F480> total confirmed deaths
 <U+0001F600> total number of…","unknown","negative"
"the european union has joined multilateral institutions offering kenya cheap loans to fight the covid and support sma…","unknown","negative"
"while you all are doing ismymanyourman remember that ncdc just tweetedcorona cases","unknown","positive"
"he tryin to use corona as an excuse","unknown","negative"
"every accident will be blamed on alcohol now same as every natural death is being…","unknown","neutral"
"observe the technique of new zealand how they made their country corona freerespect the president of new zealand","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"our women development minister is focused on antakshari

our railway minister is focused on electoral bonds

our home minis…","unknown","positive"
"must be done and dusted with that corona thing now just been to the bakers just as it ever was out there","unknown","positive"
"drink get drunk i will if i were u tbh i am getting drunk at my bsf sister’s b day we…","sadness","negative"
"respected sir please provide yrs age relaxation for ews in central government exams to save amp to empower ews youths an…","joy","positive"
"gonna dream about drowning coronachan for causing the rift s to be out of stock for this long","unknown","negative"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"retweet if you believe your dreams are still valid with corona in our midsts","unknown","positive"
"sirschools r asking for fees without providing online classes for single day stil…","unknown","positive"
"students are the future of the nation life is more important than exams government should not risk students life students can…","unknown","negative"
"this is how indians protecting themselves from corona after lockdown","unknown","positive"
"psycho terrorist attack she dealt with it volcanic eruption she dealt with it corona virus you guessed it she de…","unknown","negative"
"isse acha to corona hi ho jaye
rahulgandhirasresult 
 help us 

rahulgandhirasresult 
…","unknown","positive"
"i hope this month is the season finale of corona","unknown","positive"
"they are for the new world order the only way to usher in ir is throug…","unknown","neutral"
"justicefornaledi 
amp
justicefortshego 
young beautiful women whose lives were gruesomely ended 
our lives are always at risk…","unknown","neutral"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"university is responsible for delaying our session and not the corona stop giving excuses and do something in favour…","unknown","neutral"
"first batch to be available by the end of the year
covid vaccine oxforduniversity pune sii","unknown","positive"
"the new indian express uses picture of a muslim to represent spike in covid cases in bangalore deletes it later wi…","unknown","positive"
"what are corona lessons make india slums free population control ayush hospitals be set up every…","unknown","positive"
"and yet any god fearing hillsonger would tell you that…","sadness","positive"
"a song like this makes me feel that there isnt coronaover my shoulder <U+0001F3B6><U+0001F3B6><U+0001F3B6><U+0001F3B5><U+0001F3B5><U+0001F3B5><U+0001F3B5> mainaandkingangi","joy","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to cel…","unknown","positive"
"healthoverexams 
postponeneet 
 
 
 
why did you all waste months time if you…","unknown","negative"
"when everybody is sitting home the delivery boys the policemen the doctors nurses etc are working in order to contain…","unknown","positive"
"that blinks is have a problematic insane mind toxic corona virus in her fuing brain there is no problem…","unknown","negative"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"th may mamata banerjee indian railways is running corona express in the name of shramik trains
th june i didntt sa…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"i got many queries reg diet amp routine i was following after testing positive for covid 

i am sharing this chart prepar…","joy","positive"
"if they knows the future that students will not suffer then india will not hired by these much number of cases they are…","sadness","neutral"
"youve worked really hard all these whileit was very nice seeing your kind and always bright appearance i hope yo…","joy","positive"
"fc porto have scored two goals since portuguese football returned after the coronavirus outbreak <U+0001F1F5><U+0001F1F9>

the player thats scored bot…","unknown","negative"
"srikakulam maheshbabu seva samithihas donated k rupees towards corona relief fund <U+0001F44F><U+0001F44F>

like herolike fans <U+0001F64F>…","joy","positive"
"psycho terrorist attack she dealt with it volcanic eruption she dealt with it corona virus you guessed it she de…","unknown","negative"
"hazel is an absolute train wreck when it comes to “social distancing but she does help me work through my coronaworry…","unknown","neutral"
"met sh amit shah hon’ble hm discussed the situation on corona in delhi in detail he assured of all cooperation","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"• daily thanthi epaperappreciating his fans for sfcwelfareworks during this corona pandemic amp asking f…","unknown","positive"
"dear we all suffering from corona pandemic cm doing best in this crucial situation…","sadness","neutral"
"respected sir please provide yrs age relaxation for ews in central government exams to save amp to empower ews youths an…","joy","positive"
"lively in this clip 

please hope corona virus have not affect dictionary meaning for lively

c…","joy","positive"
"hi

is there any facility to avail leave for pregnant women employees in this corona pandemic 
pl…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celebr…","unknown","positive"
"this is how indians protecting themselves from corona after lockdown","unknown","positive"
"media will fight pakistan
army will take on china
people will fight corona
and bjp will fight bihar elections","unknown","neutral"
"neki kiya darya mein dalo atleast corona virus is out of control becoz rest of and its ppl…","unknown","negative"
"the whiff of scam appears to have taken the sheen out of state government’s otherwise stellar record in fighting the coro…","unknown","positive"
"his must be star <U+0001F31F> <U+0001F31F> hottest striker because of his name corona i thank god he didnt answer pandemic lolz<U+0001F601><U+0001F601>","sadness","positive"
"how do i get my cell phone provider to give me the g version that causes corona all i got is the normal kind of g","joy","neutral"
"my mamu is corona positive amp in quarantine since lastdaysdays back when we had video call he was recovering we…","unknown","neutral"
"if there is no corona mumbaisaga will release on juneamp i decided to go fdfs <U+0001F647> badluck <U+0001F614> 

 sir atleast re…","unknown","positive"
"offline celebrations cancelled for thalapathy vijay bday

 has instructed to every vmi heads not to celeb…","unknown","positive"
"usually around this time he would be in america wagering the best comp in the game but co…","unknown","neutral"
"worldhealthorganizationpleasesavetheegyptianhighschoolstudents
help us many students in egypt will be in…","unknown","positive"
"i want to give you a very important information about corona

influenzinumand aconite 

t…","unknown","positive"
"media will fight pakistan
army will take on china
people will fight corona
and bjp will fight bihar elections","unknown","neutral"
"coronawarrios
many thanks to ‘multan samaj kalyan sanstha’ for given me the certificate of appreciation amp honour for…","unknown","positive"
"if corona does not take you outcan i","unknown","positive"
"<U+0936><U+094D><U+0930><U+0940><U+092E><U+0926><U+094D><U+092D><U+0917><U+0935><U+0926><U+0917><U+0940><U+0924><U+093E><U+0915><U+0947><U+0917><U+0942><U+0922><U+093C><U+0930><U+0939><U+0938><U+094D><U+092F>
lord kabir 
extends the age of his lawfultrue
friend true devotee
samved sankhya n…","joy","positive"
"too good
never forget the hashtag tg fights corona","joy","negative"
"why did we wait for corona to have thiselevator makers should have made this the default long time ago","unknown","negative"
